case:concept:name,ProductID,Quantity,OrderType,IssueDate,time:timestamp,Priority,LocationID,RouteID,Description,concept:name
2002030001,1612,1,0,2020-02-03 16:16:36,2020-02-04 08:43:06,88,2,20421,"eScentz (P-T, BL) with Personalised Text",eScentz with Packaging
2002030001,1547,1,2,2020-02-03 16:16:36,2020-02-04 08:43:06,88,2,20422,eScentz Holder (BL) with Personalised Text (BLK),"Main Driver, Assembled (MTO) BL"
2002030001,1538,1,2,2020-02-03 16:16:36,2020-02-04 08:43:06,88,2,20423,"Lower Casing Printed, BL",Printing of Blue Lower Casing
2002030001,1140,2,2,2020-02-03 16:16:36,2020-02-04 08:43:07,88,2,20424,"eScentz Cartridge, Peppermint-Tea Tree",Customized Cartridge
2002040001,1548,1,2,2020-02-04 08:44:44,2020-02-04 09:04:50,88,2,20427,eScentz Holder (GR) with Personalised Text (BLK),"Main Driver, Assembled (MTO) GR"
2002040001,1539,1,2,2020-02-04 08:44:45,2020-02-04 09:04:50,88,2,20428,"Lower Casing Printed, GR",Printing of Green Lower Casing
2002040001,80,2,2,2020-02-04 08:44:45,2020-02-04 09:04:50,88,2,20429,"eScentz Cartridge, Tea Tree-Tea Tree",Customized Cartridge
2002040002,1348,1,0,2020-02-04 09:39:55,2020-02-04 10:47:40,88,2,20431,"eScentz (C-T, WH) with Personalised Text",eScentz with Packaging
2002040002,1280,1,2,2020-02-04 09:39:55,2020-02-04 10:11:23,88,2,20432,eScentz Holder (WH) with Personalised Text (BLK),"Main Driver, Assembled (MTO)"
2002040002,1203,1,2,2020-02-04 09:39:55,2020-02-04 10:03:58,88,2,20433,"Lower Casing Printed, WH",Printing of White Lower Casing
2002040002,1127,2,2,2020-02-04 09:39:55,2020-02-04 10:36:02,88,2,20434,"eScentz Cartridge, Citronella-Tea Tree",Customized Cartridge
2002040003,1346,1,0,2020-02-04 10:58:04,2020-02-04 11:34:27,88,2,20436,"eScentz (C-E, WH) with Personalised Text",eScentz with Packaging
2002040003,1280,1,2,2020-02-04 10:58:04,2020-02-04 11:34:03,88,2,20437,eScentz Holder (WH) with Personalised Text (BLK),"Main Driver, Assembled (MTO)"
2002040003,1203,1,2,2020-02-04 10:58:04,2020-02-04 11:33:44,88,2,20438,"Lower Casing Printed, WH",Printing of White Lower Casing
2002040003,1125,2,2,2020-02-04 10:58:04,2020-02-04 11:25:46,88,2,20439,"eScentz Cartridge, Citronella-Eucalyptus	",Customized Cartridge
2002050001,1354,1,0,2020-02-05 13:42:53,2020-02-06 10:41:16,88,2,20445,"eScentz (L-T, WH) with Personalised Text",eScentz with Packaging
2002050001,1280,1,2,2020-02-05 13:42:53,2020-02-06 10:41:16,88,2,20446,eScentz Holder (WH) with Personalised Text (BLK),"Main Driver, Assembled (MTO)"
2002050001,1203,1,2,2020-02-05 13:42:53,2020-02-06 10:41:16,88,2,20447,"Lower Casing Printed, WH",Printing of White Lower Casing
2002050001,1408,2,2,2020-02-05 13:42:53,2020-02-06 10:41:16,88,2,20448,"eScentz Cartridge, Lavender-Tea Tree",Customized Cartridge
2002060001,1547,1,2,2020-02-06 10:46:01,2020-02-07 09:51:39,88,2,20450,eScentz Holder (BL) with Personalised Text (BLK),"Main Driver, Assembled (MTO) BL"
2002060001,1538,1,2,2020-02-06 10:46:01,2020-02-07 09:51:39,88,2,20451,"Lower Casing Printed, BL",Printing of Blue Lower Casing
2002060001,80,2,2,2020-02-06 10:46:01,2020-02-07 09:51:40,88,2,20452,"eScentz Cartridge, Tea Tree-Tea Tree",Customized Cartridge
2002070001,1580,1,0,2020-02-07 09:55:19,2020-02-07 13:20:04,88,2,20453,"eScentz (T-T, GR) with Personalised Text",eScentz with Packaging
2002070001,1548,1,2,2020-02-07 09:55:19,2020-02-07 13:20:04,88,2,20454,eScentz Holder (GR) with Personalised Text (BLK),"Main Driver, Assembled (MTO) GR"
2002070001,1539,1,2,2020-02-07 09:55:19,2020-02-07 13:20:04,88,2,20455,"Lower Casing Printed, GR",Printing of Green Lower Casing
2002070001,80,2,2,2020-02-07 09:55:19,2020-02-07 13:20:04,88,2,20456,"eScentz Cartridge, Tea Tree-Tea Tree",Customized Cartridge
2002040004,1352,1,0,2020-02-07 13:22:03,2020-02-04 14:52:54,88,2,20457,"eScentz (L-E, WH) with Personalised Text",eScentz with Packaging
2002040004,1280,1,2,2020-02-07 13:22:03,2020-02-04 14:44:24,88,2,20458,eScentz Holder (WH) with Personalised Text (BLK),"Main Driver, Assembled (MTO)"
2002040004,1203,1,2,2020-02-07 13:22:03,2020-02-04 14:42:57,88,2,20459,"Lower Casing Printed, WH",Printing of White Lower Casing
2002040004,1131,2,2,2020-02-07 13:22:03,2020-02-04 14:29:13,88,2,20460,"eScentz Cartridge, Lavender-Eucalyptus",Customized Cartridge
2002070002,1366,1,0,2020-02-07 13:25:41,2020-02-10 10:19:47,88,2,20461,"eScentz (T-T, WH) with Personalised Text",eScentz with Packaging
2002070002,1280,1,2,2020-02-07 13:25:41,2020-02-10 10:19:47,88,2,20462,eScentz Holder (WH) with Personalised Text (BLK),"Main Driver, Assembled (MTO)"
2002070002,1203,1,2,2020-02-07 13:25:41,2020-02-07 13:57:22,88,2,20463,"Lower Casing Printed, WH",Printing of White Lower Casing
2002070002,80,2,2,2020-02-07 13:25:41,2020-02-10 10:19:47,88,2,20464,"eScentz Cartridge, Tea Tree-Tea Tree",Customized Cartridge
2002030002,1476,60,0,2020-02-07 16:11:07,2020-02-10 10:19:47,50,2,20465,Cartridge-First Dielectric Cured to Heater Cured,"Cartridge Assembly, First Dielectric Oven Curing to Heater Oven Curing"
2002070003,1580,1,0,2020-02-07 16:25:11,2020-02-10 10:19:47,88,2,20466,"eScentz (T-T, GR) with Personalised Text",eScentz with Packaging
2002070003,1548,1,2,2020-02-07 16:25:11,2020-02-10 10:19:47,88,2,20467,eScentz Holder (GR) with Personalised Text (BLK),"Main Driver, Assembled (MTO) GR"
2002070003,1539,1,2,2020-02-07 16:25:11,2020-02-07 16:31:25,88,2,20468,"Lower Casing Printed, GR",Printing of Green Lower Casing
2002070003,80,2,2,2020-02-07 16:25:11,2020-02-10 10:19:47,88,2,20469,"eScentz Cartridge, Tea Tree-Tea Tree",Customized Cartridge
2002100001,1547,1,2,2020-02-10 10:44:37,2020-02-10 14:03:50,88,2,20471,eScentz Holder (BL) with Personalised Text (BLK),"Main Driver, Assembled (MTO) BL"
2002100001,1538,1,2,2020-02-10 10:44:37,2020-02-10 12:37:38,88,2,20472,"Lower Casing Printed, BL",Printing of Blue Lower Casing
2002100001,80,2,2,2020-02-10 10:44:37,2020-02-10 14:03:50,88,2,20473,"eScentz Cartridge, Tea Tree-Tea Tree",Customized Cartridge
2002100002,1547,1,2,2020-02-10 15:17:37,2020-02-10 14:37:48,88,2,20479,eScentz Holder (BL) with Personalised Text (BLK),"Main Driver, Assembled (MTO) BL"
2002100002,1538,1,2,2020-02-10 15:17:37,2020-02-10 14:32:13,88,2,20480,"Lower Casing Printed, BL",Printing of Blue Lower Casing
2002100002,80,2,2,2020-02-10 15:17:37,2020-02-10 14:33:16,88,2,20481,"eScentz Cartridge, Tea Tree-Tea Tree",Customized Cartridge
2002100003,1610,1,0,2020-02-10 15:41:48,2020-02-11 14:18:55,88,2,20482,"eScentz (T-T, BL) with Personalised Text",eScentz with Packaging
2002100003,1547,1,2,2020-02-10 15:41:48,2020-02-10 16:35:45,88,2,20483,eScentz Holder (BL) with Personalised Text (BLK),"Main Driver, Assembled (MTO) BL"
2002100003,1538,1,2,2020-02-10 15:41:48,2020-02-10 16:19:50,88,2,20484,"Lower Casing Printed, BL",Printing of Blue Lower Casing
2002100003,80,2,2,2020-02-10 15:41:48,2020-02-11 14:18:55,88,2,20485,"eScentz Cartridge, Tea Tree-Tea Tree",Customized Cartridge
2002110001,1547,1,2,2020-02-11 15:12:18,2020-02-11 15:38:22,88,2,20487,eScentz Holder (BL) with Personalised Text (BLK),"Main Driver, Assembled (MTO) BL"
2002110001,1538,1,2,2020-02-11 15:12:18,2020-02-11 15:31:05,88,2,20488,"Lower Casing Printed, BL",Printing of Blue Lower Casing
2002110001,1124,2,2,2020-02-11 15:12:18,2020-02-11 15:35:11,88,2,20489,"eScentz Cartridge, Lavender-Citronella",Customized Cartridge
2002120001,1625,1,0,2020-02-13 13:18:41,2020-02-13 13:58:05,88,2,20494,"eScentz (L-T, BL) with Personalised Text",eScentz with Packaging
2002120001,1547,1,2,2020-02-13 13:18:41,2020-02-13 13:50:16,88,2,20495,eScentz Holder (BL) with Personalised Text (BLK),"Main Driver, Assembled (MTO) BL"
2002120001,1538,1,2,2020-02-13 13:18:41,2020-02-13 13:39:30,88,2,20496,"Lower Casing Printed, BL",Printing of Blue Lower Casing
2002120001,1408,2,2,2020-02-13 13:18:41,2020-02-13 13:54:25,88,2,20497,"eScentz Cartridge, Lavender-Tea Tree",Customized Cartridge
2002130001,1476,60,0,2020-02-13 14:05:28,2020-02-13 17:20:51,50,2,20498,Cartridge-First Dielectric Cured to Heater Cured,"Cartridge Assembly, First Dielectric Oven Curing to Heater Oven Curing"
2002130002,1353,1,0,2020-02-13 14:39:42,2020-02-13 17:20:51,88,2,20507,"eScentz (L-P, WH) with Personalised Text",eScentz with Packaging
2002130002,1280,1,2,2020-02-13 14:39:42,2020-02-13 14:38:04,88,2,20508,eScentz Holder (WH) with Personalised Text (BLK),"Main Driver, Assembled (MTO)"
2002130002,1203,1,2,2020-02-13 14:39:42,2020-02-13 14:25:56,88,2,20509,"Lower Casing Printed, WH",Printing of White Lower Casing
2002130002,67,2,2,2020-02-13 14:39:42,2020-02-13 14:44:10,88,2,20510,"eScentz Cartridge, Lavender-Peppermint",Customized Cartridge
2002140001,1476,60,0,2020-02-14 10:20:59,2020-02-15 10:19:52,50,2,20511,Cartridge-First Dielectric Cured to Heater Cured,"Cartridge Assembly, First Dielectric Oven Curing to Heater Oven Curing"
2002140002,1582,1,0,2020-02-14 10:20:59,2020-02-15 10:19:52,88,2,20512,"eScentz (P-P, GR) with Personalised Text",eScentz with Packaging
2002140002,1548,1,2,2020-02-14 10:20:59,2020-02-15 10:19:52,88,2,20513,eScentz Holder (GR) with Personalised Text (BLK),"Main Driver, Assembled (MTO) GR"
2002140002,1539,1,2,2020-02-14 10:20:59,2020-02-15 10:19:52,88,2,20514,"Lower Casing Printed, GR",Printing of Green Lower Casing
2002140002,1139,2,2,2020-02-14 10:20:59,2020-02-15 10:19:52,88,2,20515,"eScentz Cartridge, Peppermint-Peppermint",Customized Cartridge
2002140003,1476,60,0,2020-02-14 11:21:27,2020-02-15 10:19:52,50,2,20516,Cartridge-First Dielectric Cured to Heater Cured,"Cartridge Assembly, First Dielectric Oven Curing to Heater Oven Curing"
2002150001,1362,1,0,2020-02-15 10:30:21,2020-02-15 15:49:24,88,2,20517,"eScentz (P-P, WH) with Personalised Text",eScentz with Packaging
2002150001,1280,1,2,2020-02-15 10:30:21,2020-02-15 11:19:25,88,2,20518,eScentz Holder (WH) with Personalised Text (BLK),"Main Driver, Assembled (MTO)"
2002150001,1203,1,2,2020-02-15 10:30:21,2020-02-15 11:13:45,88,2,20519,"Lower Casing Printed, WH",Printing of White Lower Casing
2002150001,1139,2,2,2020-02-15 10:30:21,2020-02-15 11:15:12,88,2,20520,"eScentz Cartridge, Peppermint-Peppermint",Customized Cartridge
2002180001,1345,1,0,2020-02-18 09:59:19,2020-02-18 14:55:17,88,2,20525,"eScentz (L-C, WH) with Personalised Text",eScentz with Packaging
2002180001,1280,1,2,2020-02-18 09:59:19,2020-02-18 11:36:23,88,2,20526,eScentz Holder (WH) with Personalised Text (BLK),"Main Driver, Assembled (MTO)"
2002180001,1203,1,2,2020-02-18 09:59:19,2020-02-18 11:20:42,88,2,20527,"Lower Casing Printed, WH",Printing of White Lower Casing
2002180001,1124,2,2,2020-02-18 09:59:19,2020-02-18 11:40:31,88,2,20528,"eScentz Cartridge, Lavender-Citronella",Customized Cartridge
2002180002,1346,1,0,2020-02-18 11:32:11,2020-02-18 14:55:17,88,2,20529,"eScentz (C-E, WH) with Personalised Text",eScentz with Packaging
2002180002,1280,1,2,2020-02-18 11:32:11,2020-02-18 14:03:20,88,2,20530,eScentz Holder (WH) with Personalised Text (BLK),"Main Driver, Assembled (MTO)"
2002180002,1203,1,2,2020-02-18 11:32:11,2020-02-18 13:57:31,88,2,20531,"Lower Casing Printed, WH",Printing of White Lower Casing
2002180002,1125,2,2,2020-02-18 11:32:11,2020-02-18 13:57:31,88,2,20532,"eScentz Cartridge, Citronella-Eucalyptus	",Customized Cartridge
2002180003,1476,24,0,2020-02-18 15:06:02,2020-02-19 11:23:05,50,2,20533,Cartridge-First Dielectric Cured to Heater Cured,"Cartridge Assembly, First Dielectric Oven Curing to Heater Oven Curing"
2002180004,1234,12,0,2020-02-18 16:23:40,2020-02-18 16:31:55,50,2,20540,Cartridge-Second Dielectric Cured,"Cartridge Assembly, Second Dielectric Circuit Cured (Prep)"
2002180005,1621,12,0,2020-02-18 17:01:39,2020-02-18 17:00:59,88,2,20550,"eScentz (L-C, BL) with Personalised Text",eScentz with Packaging
2002180005,1547,12,2,2020-02-18 17:01:39,2020-02-18 17:00:59,88,2,20551,eScentz Holder (BL) with Personalised Text (BLK),"Main Driver, Assembled (MTO) BL"
2002180005,1538,12,2,2020-02-18 17:01:39,2020-02-18 17:00:59,88,2,20552,"Lower Casing Printed, BL",Printing of Blue Lower Casing
2002180005,1124,24,2,2020-02-18 17:01:39,2020-02-18 17:00:59,88,2,20553,"eScentz Cartridge, Lavender-Citronella",Customized Cartridge
2002180006,1346,1,0,2020-02-19 11:17:19,2020-02-19 11:23:05,88,2,20562,"eScentz (C-E, WH) with Personalised Text",eScentz with Packaging
2002180006,1280,1,2,2020-02-19 11:17:19,2020-02-19 11:23:05,88,2,20563,eScentz Holder (WH) with Personalised Text (BLK),"Main Driver, Assembled (MTO)"
2002180006,1203,1,2,2020-02-19 11:17:19,2020-02-19 11:23:05,88,2,20564,"Lower Casing Printed, WH",Printing of White Lower Casing
2002180006,1125,2,2,2020-02-19 11:17:19,2020-02-19 11:23:05,88,2,20565,"eScentz Cartridge, Citronella-Eucalyptus	",Customized Cartridge
2002190001,1347,1,0,2020-02-19 14:56:24,2020-02-19 14:55:21,88,2,20570,"eScentz (C-P, WH) with Personalised Text",eScentz with Packaging
2002190001,1280,1,2,2020-02-19 14:56:24,2020-02-19 13:06:04,88,2,20571,eScentz Holder (WH) with Personalised Text (BLK),"Main Driver, Assembled (MTO)"
2002190001,1203,1,2,2020-02-19 14:56:24,2020-02-19 12:17:00,88,2,20572,"Lower Casing Printed, WH",Printing of White Lower Casing
2002190001,1126,2,2,2020-02-19 14:56:24,2020-02-19 12:59:30,88,2,20573,"eScentz Cartridge, Citronella-Peppermint",Customized Cartridge
2002190002,1347,1,0,2020-02-19 16:55:02,2020-02-19 16:55:48,88,2,20578,"eScentz (C-P, WH) with Personalised Text",eScentz with Packaging
